PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40057821,Antioxidant Properties of Aronia melanocarpa and Morinda citrifolia Juices and their Impact on Bladder Cancer Cell Lines.,2025-03-09,Elżbieta Wojtowicz,Prof. Wacław Dąbrowski Institute of Agricultural and Food Biotechnology,
40057807,Development of a bispecific antibody-drug conjugate targeting EpCAM and CLDN3 for the treatment of multiple solid tumors.,2025-03-08,Meiying Luo; Jing Ji; Long Li; Fan Song,Beijing Key Laboratory of Engineered Construction and Mechanobiology; School of Biological Science and Medical Engineering,
40057801,Link between iron-mediated lipid peroxidation and polycystic ovary syndrome (PCOS): exploring the genes underlying iron regulatory mechanism.,2025-03-08,Nighat Hayat; Zertashia Akram; Nayab Khalid; Tehmina Mazhar,Cancer Genetics and Epigenetics Lab,
40057764,Specific sDMA modifications on the RGG/RG motif of METTL14 regulate its function in AML.,2025-03-08,Yulun Zhong; Rou Zhang; Lingzi Lu; Huijian Tan; Yuyu You; Yang Mao; Yanqiu Yuan,School of Pharmaceutical Sciences,
40057760,The association between dietary acid load and odds of prostate cancer: a case-control study.,2025-03-08,Sanaz Mehranfar; Yahya Jalilpiran; Alireza Jafari; Leila Setayesh; Shiva Faghih,Tehran University of Medical Sciences; Shiraz University of Medical Sciences,
40057744,IL-19 as a promising theranostic target to reprogram the glioblastoma immunosuppressive microenvironment.,2025-03-08,Li-Chun Hsieh; Cheng-Ying Chu; Yung-Hsiao Chiang; Duen-Pang Kuo; Shiu-Wen Huang; Hsing-Jien Kung; Cheng-Yu Chen,Department of Pharmacology; Taipei Medical University,
40057743,Prediction of tumor spread through air spaces with an automatic segmentation deep learning model in peripheral stage I lung adenocarcinoma.,2025-03-08,Ping Gong; Hui Qian,School of Medical Imaging; Medical College of Jiangsu University,
40057741,Correction to: Association of tobacco product use with chronic obstructive pulmonary disease (COPD) prevalence and incidence in waves 1 through 5 (2013-2019) of the population assessment of tobacco and health (PATH) study.,2025-03-08,Lisa D Gardner; Dana Lauterstein,Food and Drug Administration,
40057735,Production and characterization of a promising microbial-derived lipase enzyme targeting BCL-2 gene expression in hepatocellular carcinoma.,2025-03-08,Amal M Abo-Kamer; Ahmed A Abdelaziz; Esraa S Elkotb; Lamiaa A Al-Madboly,Department of Microbiology and Immunology,
40057730,Small extracellular vesicles and particles (sEVPs) derived from tumor-free pre-metastatic organs promote breast cancer metastasis and support organotropism.,2025-03-08,Katja Nitschke; Peter Lichter,Medical Faculty Mannheim; Division of Molecular Genetics,
40057722,Stability-indicating spectrophotometric manipulations for the determination of Letrozole in the presence of its alkali-induced degradation products; towards whiteness and ChlorTox scale perspectives.,2025-03-08,Nourhan A Abd El-Fatah; Manal Mohammed Fouad; Maha A Hegazy; Ghada M El-Sayed,Faculty of Pharmacy,
40057679,EDA1 variants inhibit the odontogenic differentiation and proliferation of human dental pulp stem cells.,2025-03-08,Wei Liu,Hebei Medical University,
